,date,forecast_date,forecast,truth,quantile,location
14,2020-08-01,2020-07-20,30370.0,24824,,13
6,2020-08-08,2020-07-27,22631.0,23415,,13
18,2020-08-15,2020-08-03,22134.0,21741,,13
3,2020-08-22,2020-08-10,20527.0,17054,,13
23,2020-08-29,2020-08-17,17895.0,15536,,13
19,2020-09-05,2020-08-24,14764.0,13790,,13
48,2020-09-12,2020-08-31,13197.0,11357,,13
43,2020-09-19,2020-09-07,13061.0,12116,,13
21,2020-09-26,2020-09-14,10252.0,8852,,13
27,2020-10-03,2020-09-21,9993.0,8296,,13
40,2020-10-10,2020-09-28,8032.0,8100,,13
7,2020-10-17,2020-10-05,7109.0,9115,,13
13,2020-10-24,2020-10-12,6357.0,10221,,13
11,2020-10-31,2020-10-19,7808.0,11185,,13
29,2020-11-07,2020-10-26,9566.0,44247,,13
0,2020-11-14,2020-11-02,11238.0,17868,,13
28,2020-11-21,2020-11-09,11539.0,23899,,13
42,2020-11-28,2020-11-16,18384.0,20760,,13
37,2020-12-05,2020-11-23,26547.0,31807,,13
41,2020-12-12,2020-11-30,21342.0,38669,,13
10,2020-12-19,2020-12-07,34960.0,44260,,13
36,2020-12-26,2020-12-14,45234.0,46488,,13
46,2021-01-02,2020-12-21,49329.0,56334,,13
30,2021-01-09,2020-12-28,46852.0,63730,,13
49,2021-01-16,2021-01-04,57655.0,60811,,13
22,2021-01-23,2021-01-11,67622.0,52495,,13
45,2021-01-30,2021-01-18,66289.0,43700,,13
31,2021-02-06,2021-01-25,50332.0,31544,,13
20,2021-02-13,2021-02-01,41830.0,25406,,13
5,2021-02-20,2021-02-08,25559.0,20939,,13
34,2021-02-27,2021-02-15,17120.0,20440,,13
47,2021-03-06,2021-02-22,15248.0,17591,,13
44,2021-03-13,2021-03-01,16275.0,11189,,13
32,2021-03-20,2021-03-08,14015.0,11167,,13
24,2021-03-27,2021-03-15,9445.0,10296,,13
9,2021-04-03,2021-03-22,10430.0,9250,,13
1,2021-04-10,2021-03-29,9948.0,9020,,13
16,2021-04-17,2021-04-05,8814.0,10600,,13
35,2021-04-24,2021-04-12,8551.0,9552,,13
4,2021-05-01,2021-04-19,10772.0,8635,,13
38,2021-05-08,2021-04-26,9179.0,7843,,13
15,2021-05-15,2021-05-03,8190.0,5742,,13
26,2021-05-22,2021-05-10,6315.0,4542,,13
2,2021-05-29,2021-05-17,4453.0,3729,,13
17,2021-06-05,2021-05-24,3325.0,2511,,13
12,2021-06-12,2021-05-31,2501.0,2613,,13
33,2021-06-19,2021-06-07,1878.0,2378,,13
25,2021-06-26,2021-06-14,2241.0,2218,,13
39,2021-07-03,2021-06-21,1981.0,2463,,13
8,2021-07-10,2021-06-28,1942.0,3870,,13
